	#ALIMENTADOR	ALIM_NRO	ME_PSEUDO	ME_TIPO	ME_NOMBRE	ME_ORDEN	UT_TPLNR	UT_TXT	UT_OBJECTNAMEID	UT_TIPO	SPRID	CAPTION	SECUENCIA
30157	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB096	PIQUETE OB096	6327322	PIQUETE_MT	408	Poste de Madera de M.T.	150
30158	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327323	VANO 3x50 Al. T	6327323	LAMT	1089	LAMT 13,2 kV	151
30159	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB097	PIQUETE OB097	6327325	PIQUETE_MT	408	Poste de Madera de M.T.	152
30160	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327326	VANO 3x50 Al. T	6327326	LAMT	1089	LAMT 13,2 kV	153
30161	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	OB098	PIQUETE OB098	6327328	PIQUETE_MT	408	Poste de Madera de M.T.	154
30162	18552866	15326A	MM91523044	TRONCAL	MEL-4641-9|4642-9|4670-9|B04-1432|K04-1471|S04-1370|S04-1470|	126	6327330	VANO 3x50 Al. T	6327330	LAMT	1089	LAMT 13,2 kV	155
30163	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	6327334	VANO 3x50 Al. T	6327334	LAMT	1089	LAMT 13,2 kV	1
30164	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	OB099	PIQUETE OB099	6327336	PIQUETE_MT	408	Poste de Madera de M.T.	2
30165	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	6327338	VANO 3x50 Al. T	6327338	LAMT	1089	LAMT 13,2 kV	3
30166	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	OB100	PIQUETE OB100	6327340	PIQUETE_MT	408	Poste de Madera de M.T.	4
30167	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	6327342	VANO 3x50 Al. T	6327342	LAMT	1089	LAMT 13,2 kV	5
30168	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	OB101	PIQUETE OB101	6327344	PIQUETE_MT	408	Poste de Madera de M.T.	6
30169	18552866	15326A	MM95858165	TRONCAL	MEL-B04-1432|S606OL|	127	6327345	VANO 3x50 Al. T	6327345	LAMT	1089	LAMT 13,2 kV	7
